LIST_TYPE,CHNL_NM,SHOP_CD,SHOP_NM,ACT_SALE_MIL,DPRFT_MIL,YOY_PCT,PROFIT_RATIO_PCT,CONTRIB_PCT,CONTRIB_CUM_PCT
DEFICIT,백화점,101167,AK수원,0,0,,,0,
DEFICIT,제휴몰,104079,29CM(제휴몰),0,-2.6,,,-0.14,
DEFICIT,직영점,101210,가로수길(직),66.6,-16.2,-32.5,-26.8,-35.26,
TOP5,대리점,103335,현대가든파이브(상-위),143.5,47.7,11,36.6,1.63,11
TOP5,대리점,101151,퍼스트빌리지(대-위),188.5,51.7,-6.2,30.1,1.76,9.37
TOP5,대리점,100994,순천연향(대-위),176.4,53.6,67.1,33.5,1.83,7.6
TOP5,대리점,104172,모다경주(대-위),276.3,80.3,-19.5,32,2.74,5.77
TOP5,대리점,101373,LF스퀘어양주(대-위),298.5,88.6,-6.6,32.6,3.03,3.03
TOP5,면세점,101179,신라면세용산,741.1,102.6,-17.7,15.2,20.92,100
TOP5,면세점,103629,현대면세동대문,0,0,-100,,0,100
TOP5,면세점,106219,현대면세무역,579.6,113.6,,21.6,23.17,79.08
TOP5,면세점,104163,신세계면세명동,764.4,128.3,-12.7,18.5,26.17,55.91
TOP5,면세점,103628,신라면세장충,815.9,145.8,209.4,19.7,29.74,29.74
TOP5,백화점,101168,신세계대구,336.1,94.7,0.7,31,2.86,20.02
TOP5,백화점,101242,마리오구로,241.7,99.3,-7.2,45.2,2.99,17.16
TOP5,백화점,104359,롯데인천,461,121.5,1.7,29,3.66,14.17
TOP5,백화점,101140,롯데잠실,615.7,163.9,24.2,29.3,4.94,10.51
TOP5,백화점,101018,신세계강남,653.3,184.6,22.1,31.1,5.57,5.57
TOP5,아울렛,101245,팩토리이천(직),167.6,91.6,-18.5,60.1,100,100
TOP5,아울렛,103247,현대아울렛송도(직),361.3,143.1,5.1,43.6,5.34,31.69
TOP5,아울렛,101308,현대아울렛김포(직),356.7,143.4,-4.6,44.2,5.35,26.35
TOP5,아울렛,101193,롯데아울렛김해(직),469.4,151.9,-23.1,35.6,5.66,21
TOP5,아울렛,101222,신세계아울렛파주(직),399.1,169.2,10.1,46.6,6.31,15.34
TOP5,아울렛,101161,신세계아울렛시흥(직),595.8,242,-8.3,44.7,9.02,9.02
TOP5,자사몰,106038,Discovery 쇼피파이 글로벌,3.1,1.9,,68.5,0.23,100
TOP5,자사몰,103673,디스커버리 글로벌,0,0,-100,,0,100
TOP5,자사몰,101377,온라인쇼핑몰(직),1545.6,829,2.6,59,99.77,99.77
TOP5,제휴몰,104294,29CM(제휴몰),316.7,110.7,-11.8,38.4,5.96,83.82
TOP5,제휴몰,105175,카카오선물하기(제휴몰),312.8,149.5,-0.1,52.6,8.05,77.86
TOP5,제휴몰,104809,롯데ON(제휴몰),532.8,166.2,76.9,34.3,8.94,69.81
TOP5,제휴몰,103405,네이버스토어(제휴몰),1561.9,535.6,-5.7,37.7,28.83,60.87
TOP5,제휴몰,101301,무신사(제휴몰),1753.6,595.3,-1.5,37.3,32.04,32.04
TOP5,직영점,106036,명동점(직),336.3,29.9,,9.8,64.82,135.26
TOP5,직영점,101210,가로수길(직),66.6,-16.2,-32.5,-26.8,-35.26,100
TOP5,직영점,101217,광주상무(직),99,24.3,8,27.1,9.96,84.47
TOP5,직영점,101067,타임스퀘어영등포(직),147.8,39.8,-8.6,29.6,16.29,74.51
TOP5,직영점,106017,강남사옥(직),109.2,32.5,,32.7,70.44,70.44
TOP5,직영점,105501,스타필드수원(직),175.3,41,-18.2,25.7,16.79,58.22
TOP5,직영점,102224,스타필드안성(직),175.2,45.4,8.4,28.5,18.6,41.43
TOP5,직영점,101207,스타필드고양(직),216.8,55.8,-11.2,28.3,22.83,22.83
