BRD_CD,BRD_NM,CHNL_NM,SHOP_CD,SHOP_NM,ACT_SALE_CY_MIL,ACT_SALE_PY_MIL,DPRFT_MIL,DPRFT_YOY_PCT,SALE_YOY_PCT,DISCOUNT_CY_PCT,DISCOUNT_PY_PCT,DISCOUNT_YOY_PCTP,SHOP_STATUS
X,DISCOVERY,직영점,101210,가로수길(직),66.6,97.6,-16.2,-32.5,-31.7,8.1,5.8,2.3,DEFICIT
X,DISCOVERY,백화점,101134,롯데센텀,37,38.2,0.8,-85.9,-3.1,32.8,40.1,-7.2,LOW_PROFIT
X,DISCOVERY,백화점,101133,롯데관악,40.4,29.3,5.5,59.8,37.9,10.1,5.3,4.8,LOW_PROFIT
X,DISCOVERY,백화점,101149,롯데상인,56.7,56.2,8.2,-25.1,0.8,18.3,16.3,2,LOW_PROFIT
X,DISCOVERY,백화점,101012,롯데포항,54.5,67.7,8.8,-35.2,-19.4,8.8,2.8,6,LOW_PROFIT
X,DISCOVERY,백화점,101148,롯데대구,63.1,64.6,9.2,-13.6,-2.3,16.4,10.4,6.1,LOW_PROFIT
X,DISCOVERY,백화점,101157,롯데광주,64.2,115.4,9.3,-68.2,-44.4,36.9,45.2,-8.3,LOW_PROFIT
X,DISCOVERY,백화점,101158,롯데건대,62,80.1,9.5,-30.4,-22.6,8.8,11.6,-2.8,LOW_PROFIT
X,DISCOVERY,백화점,101013,롯데강남,64,57.6,9.6,-13.4,11.1,11.6,7.9,3.7,LOW_PROFIT
X,DISCOVERY,백화점,101155,신세계마산,72.6,79,10.2,-42.4,-8,19.5,28.7,-9.2,LOW_PROFIT
X,DISCOVERY,백화점,101030,롯데창원,81.1,97.7,13.2,-35.3,-17,7.2,3,4.2,LOW_PROFIT
X,DISCOVERY,백화점,101136,롯데청량리,86.2,79.3,13.3,-16,8.8,10.4,5.3,5.1,LOW_PROFIT
X,DISCOVERY,백화점,101241,롯데전주,95,89.4,15.3,-11.6,6.2,14.9,10.7,4.2,LOW_PROFIT
X,DISCOVERY,백화점,101187,신세계하남,132.3,193.3,16.1,-42.4,-31.5,29.7,42,-12.4,LOW_PROFIT
X,DISCOVERY,직영점,104135,스타필드하남(직),127.5,161.7,16.6,-52.7,-21.1,12.8,5.6,7.2,LOW_PROFIT
X,DISCOVERY,백화점,100985,롯데영등포,136.9,171.3,18.6,-48.4,-20.1,27.7,29.9,-2.2,LOW_PROFIT
X,DISCOVERY,백화점,101015,롯데수원,117.7,217.5,19.2,-62.3,-45.9,19,36.5,-17.6,LOW_PROFIT
X,DISCOVERY,백화점,101262,신세계영등포,125.7,118.6,19.2,-8.1,6,17.2,21.3,-4.1,LOW_PROFIT
X,DISCOVERY,백화점,101095,현대중동,128.6,148.8,19.4,-34.3,-13.6,10.2,29.9,-19.7,LOW_PROFIT
X,DISCOVERY,백화점,101166,현대울산,123,112.4,19.5,-6.3,9.4,21.8,14.8,7,LOW_PROFIT
X,DISCOVERY,백화점,101107,현대미아,131.1,183.3,20,-47.1,-28.5,19.4,20,-0.6,LOW_PROFIT
X,DISCOVERY,백화점,101130,롯데평촌,135.6,193.6,21.4,-54.4,-30,16,34.2,-18.2,LOW_PROFIT
X,DISCOVERY,백화점,101244,신세계경기,141.7,123.1,22.9,6.8,15.1,13.1,18.3,-5.2,LOW_PROFIT
X,DISCOVERY,백화점,101153,롯데노원,206.6,175.9,25.2,-27,17.4,43.1,31.2,11.9,LOW_PROFIT
X,DISCOVERY,백화점,101090,신세계센텀,193.2,220.3,27.9,-32.3,-12.3,23.2,19.9,3.2,LOW_PROFIT
X,DISCOVERY,백화점,101165,현대목동,173.7,188.7,28.5,-28,-8,24.9,36.2,-11.3,LOW_PROFIT
X,DISCOVERY,백화점,101132,롯데김포,237.8,101.9,28.7,41.9,133.3,32.6,11.5,21.2,LOW_PROFIT
X,DISCOVERY,직영점,106036,명동점(직),336.3,0,29.9,,,6.9,,6.9,LOW_PROFIT
X,DISCOVERY,백화점,101014,AK분당,275.2,142.8,31.5,19.1,92.7,30.7,11.7,19,LOW_PROFIT
